Region,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30
Midwest,100.0,100.29677965292356,101.22005145343974,101.95119834929503,100.5285401143023,100.91265658112465,101.27472471724485,101.39732201272642,101.39175157259459,101.2203043544448,101.07130204418537,100.13688096019958,100.48221334710423,101.54656622502614,101.83327720503756,102.52261281363724,102.29165060569747,101.26694591967234,101.3950088491947,101.95233544715026,101.46594902917678,100.89579794797687,101.01820139945916,101.10532437495374,100.91953804023863,101.26507350314257,101.78170800518642,102.40244845408981,102.77712783466426,103.13820855782552,103.2473278265306,103.34301663376672,103.40684844471915,103.50685221083474,103.73001362483893,103.86845237156493,104.31033798292727,104.66136146633912,105.27143378880976,105.82598456147821,106.46087957085571,106.87840314188746,107.16817590989223,107.2021228576987,107.24323458846692,107.27330570759392,107.38056338118074,107.52578293301815,108.00277369853927,108.49478937628191,109.12068743805881,109.44424296685742,109.92635311100827,110.22881504428932,110.89340756821302,111.18159156109716,111.67169820294897,111.83212718991943,111.79238073642472,111.94027090196231,111.48126454143718,112.44583197824267,112.75620746303545,113.64786361420902,115.02229072147006,115.94512320185551,117.28690957867019,117.85939524967024,118.57440776661514,119.05090704990558,119.46410546542963,119.61671107461895,119.91509910422016,120.16497497069594,121.08936193434054,122.98162651372569,123.75607010819958,124.99727420304004,125.00923140878453,125.78174959344415,125.53458941386404,125.73934405728345,125.72630768213679,125.10906732439369,124.83711532376391,125.30917466245141,126.10215400731089,126.17995636888033,126.98203137698414,127.17808480736639,127.88994232848998,127.91921268313429,128.30185397894144,128.5422784604753,128.62335300990654,129.10585363707335,129.84867708201315,130.61528432478764,131.36507754517038,132.24915141217917,133.17836619830092,132.7456374295912,133.8888337792336,134.1884959634739,134.0852873774834,133.8067747497647,134.3016549253031,134.84962856277133,135.39223017067374,135.0918771753489,135.9319101171699,136.83948859265226,137.18455277085556,138.21607513284852,139.13808853623945,139.31724421044714,139.7385495947795,140.0037609256768,140.22104257640845,139.95425409404027,139.20083218580612,139.1522744093751,138.70374883797413,137.86395493169636
Northeast,100.0,100.54652950247274,101.15506082869541,102.31963959606925,99.97967159691954,100.5177646226421,100.66192868764176,101.21657651446527,101.09688562669916,102.37451067284631,100.6815957977047,100.66972491461539,100.97904758802596,101.93339700858925,102.7596149449001,103.48734956883004,104.1759766675751,104.71333261686286,105.02247699032301,104.90772337999923,104.73417476009969,104.53664438940244,104.51767173572463,103.92768194205246,102.98157415009715,103.6941202587058,104.49389796523474,103.72296608380094,104.18310353236949,104.85547432546089,105.26213683940459,105.57866072035442,105.47680580260833,105.32364479328065,105.16870793901222,105.15545763113379,105.83247274164297,106.50767694867886,108.43031027906049,109.3486818659696,109.94844317547904,110.23731123841833,110.52170489038122,110.7247537657581,110.73615929841971,110.7977337809566,110.82160345040828,111.27313937501641,111.8514699960483,112.90174970857979,113.53949909191223,114.12570885327679,114.26584198308723,114.81743251037813,115.52955546312195,116.37593007877203,116.83259296966713,117.43337542580352,117.8240861005754,118.09289456802901,117.71133447523997,117.12615049185513,119.18352672974851,120.72928137520466,121.19160506222883,123.67261445671485,125.43681234559352,126.99248022969796,127.8390355333761,128.43421709392538,128.8046327554403,129.79454306925032,130.64499646757668,130.59527463999385,131.67324654456533,133.62708029576024,134.163535478783,135.33616941365568,137.01344507779802,136.9574420502228,137.09577785470415,137.84300830582984,136.31745582574192,136.75259930374077,138.4251061067391,137.8779951870672,137.63083372532998,138.7811779989931,136.46088121506497,137.2615602877549,137.9333039274254,138.6413939652512,138.90298395658232,138.91928065579276,138.64899625186112,139.3388498364007,139.08371437513034,138.97744874982064,140.13117762188628,140.11569416244186,139.8980055582969,140.41127562684224,141.20614240707482,141.61606385383106,141.58275499449726,143.14464780836,141.24257741796785,141.93358738280918,143.18575364376449,143.90829770691792,144.33090913340527,145.80336341682428,144.4856324190043,145.2112195254994,145.624588649545,145.43744657246688,145.61373292332317,145.47761930423974,145.36683008814532,144.94766426580068,143.24275713569685,142.82688879247155,145.01716638799743,141.3298969181549
South,100.0,100.16066475799441,100.53543002008496,100.6392747517761,100.79303432241915,101.17585608616207,101.24169672738878,101.35126940067471,101.40725871039167,101.35664002744218,101.41231540365392,101.35258674615018,101.28203174874919,101.78957515858984,102.47810658270546,103.00917272851464,103.59045209392308,103.99061920272081,104.37688564064882,104.47686851295965,104.51655944732272,105.54809178313509,105.69691095099382,105.97144941821688,106.54687252460207,106.86150833320103,107.23630537633338,107.86149938995958,108.41199016667412,108.98156868848984,109.27333264423808,109.53448787791902,109.58145772903221,109.86667687762277,110.01455455417309,110.33129700820659,110.4109660182432,110.9172490480932,111.56149764438756,112.05198449786053,112.6655054968643,113.17983898367305,113.62621406937303,113.7852038859714,113.88320504936466,113.89129440055996,113.99869290111431,114.09554749069379,114.42095987666107,114.88468786858999,115.47888896266369,115.45672806216307,115.65293875007434,115.9987588197697,116.82173878698143,117.34739671490905,117.98904535994737,118.41408561096083,118.84581903269789,118.91002963764149,119.65065504990595,120.4905371629464,121.67651132989796,122.89069938002386,124.82711016361796,126.66255257120815,129.05810758598614,130.9920143935744,132.66238502093998,133.9690345193529,134.02822222758158,134.5716510473566,134.78443801383287,135.7205373998675,136.66540518481872,137.87554724155743,139.4181392137766,140.67818767227763,141.75498460882352,142.34858486448684,142.80131433314278,142.59205257128156,142.64987647457284,142.51947321197568,142.01977234315652,141.84065132825222,141.69406621395802,142.29524705035536,142.00833936189596,142.71053819114002,143.22435562962616,143.46627695596464,143.6812491594676,143.50082597030988,142.65299354573756,142.35743313239303,142.38584120856754,142.08730013120294,143.29039975322974,143.86801622702112,144.33539161260467,144.68062648174603,144.6588816745234,144.83186054169448,144.97327651903643,145.4413971318089,144.94386575140257,145.15209023645116,145.29823245911854,146.08842340829463,146.10961943687258,147.2266936347847,147.57922410586204,148.178181990634,148.7864777274937,149.15237813178334,148.79350946191522,148.17179502150222,147.88749272367545,147.4072577115813,147.06166413928426,147.88839424592572,147.89215951791783,147.60045433091267
West,100.0,100.44949132329266,101.22170542145628,102.86295745558385,103.68833506365334,104.41299543297306,105.04517513577001,105.33802306901158,105.49987023337349,105.42416590640642,105.43884810276619,105.44860937718306,106.0074622168717,106.32925898644345,107.70266314883688,108.38526199157282,109.34072878051859,110.05002826979045,109.85203708095075,110.20683542944822,110.44922927878468,110.5257374845232,110.5492391496356,110.53302681052921,110.91068430106594,111.53239049114238,112.48574959513581,113.52959383700336,114.25125900678962,115.09497431581359,115.67656938668122,116.1070681970701,116.19776875868166,116.12791851245541,116.04215870564816,116.22544458411129,117.2028480288589,117.91548855463019,118.6993154320983,119.5869903552666,120.48413172767832,121.35028453983368,121.87465749056881,122.1317800209625,122.16690861824748,122.0813700343701,121.31774991438668,122.15719567233612,122.79929676616777,123.6735575602146,124.2781414747314,124.25898458870637,123.37517612937616,123.62825099565222,125.43311893167073,125.60099515280243,126.51791184461077,127.26195153029849,127.80380166739691,129.14798360805068,130.08080860117497,129.94585109972473,131.26997429190527,133.53025246482318,134.9283875466161,137.4511008165828,139.89884507151032,142.49814108140856,143.73300907948956,144.44499786759138,144.20073654969377,143.33744022045525,143.3339356325711,142.7344377562795,144.0822325305489,145.26634322449615,145.48454592622662,146.31960060617467,147.04954775426742,147.01616221551032,147.03545826533536,146.61091534099933,145.7181579974109,144.9108658613834,146.63739673228017,146.91956122402593,148.32212399272086,146.40718439305348,145.5675749029975,146.07530201901423,146.80654335376437,147.015493452311,146.99558794189628,146.96031931467144,146.6883033628758,146.56948234674744,146.27234597570714,147.94107689247173,148.71358783390227,150.29063290306357,150.58747683380892,151.57156634336926,151.8378050410645,151.9668483715046,152.00825802768767,151.4199105424624,150.88962305972743,150.57352371602644,150.6210441345001,153.69665851477637,154.52888787548642,155.2376755344502,155.84700225721735,156.45187366376666,156.85895107401805,157.2887519037546,157.55083791710769,157.15607114770813,156.9053441792981,155.61141657113257,156.11031801663296,156.85631219350802,157.71995412702083,156.3169903693852
